#Org ,PROG,  Àrea,Econ ,   CAP,Descripció ,PREVISIÓN INICIAL 2018,PREVISIÓN INICIAL 2019
SG1,9120.0,9,2130001.0,2.0,REP.MANT.MAQ.INSTAL.UTIL.- ORG. GOVERN,500.0,600.0
SG1,9203.0,9,2130001.0,2.0,REP.MANT.MAQ.INSTAL.UTIL.- CONTRACTACIÓ,300.0,400.0
SG4,9311.0,9,2130001.0,2.0,"MAQUINARIA, INSTAL.LACIONS.- SERV. ECONÒMICS",1000.0,0.0
SG5,1300.0,1,2140001.0,2.0,REP.MANT.VEHICLES.- POLICIA,18000.0,18000.0
CM1,1711.0,1,2140001.0,2.0,REP.MANT.VEHICLES.-  MICROCIUTAT,12000.0,12000.0
CM1,1719.0,1,2140001.0,2.0,REP.MANT.VEHICLES.- EDIFICIS MPALS,5000.0,3000.0
SP1,2311.0,2,2140001.0,2.0,REP.MANT.VEHICLES.- R.G.A,10000.0,10000.0
SP1,3230.0,3,2140001.0,2.0,REP.MANT.VEHICLES.-EDUCACIO,400.0,1000.0
SG4,9206.0,9,2160001.0,2.0,REP.MANT.EQUIPS INFORMATICS.,5000.0,5000.0
SP1,2310.0,2,2200001.0,2.0,MAT. OFICINA ORDINARI.- ATENCIÓ PRIMARIA,1000.0,1000.0
SP1,2311.0,2,2200001.0,2.0,MAT. OFICINA ORDINARI.- RGA,1000.0,1000.0
SP3,3400.0,3,2200001.0,2.0,MAT. OFICINA ORDINARI.- ESPORTS,900.0,900.0
SG1,9120.0,9,2200001.0,2.0,MAT. OFICINA ORDINARI.- ORG. GOVERN,100.0,150.0
SG1,9250.0,9,2200001.0,2.0,MAT. OFICINA ORDINARI.- OAC,500.0,500.0
SG4,9311.0,9,2200001.0,2.0,MAT. OFICINA ORDINARI.- GESTIÓ PRES.,18000.0,18000.0
SP3,3322.0,3,2200101.0,2.0,"PREMSA, LLIBRES, SUBSCRIPCIONS- ARXIU",700.0,700.0
SG1,9120.0,9,2200101.0,2.0,"PREMSA,  LLIBRES, SUBSCRIP.- ORG. GOVERN",700.0,700.0
SG4,9311.0,9,2200101.0,2.0,"PREMSA, LLIBRES, SUBSCRIP..- G. PRES.",600.0,600.0
SG4,9311.0,9,2200201.0,2.0,MAT.INFORMÀTIC CONSUM. - GESTIÓ PRES.,3000.0,3000.0
CM1,1650.0,1,2210001.0,2.0,ENERGIA ELECTRICA.-ENLLUMENAT PUBLIC I EDIFICIS MPALS.,900000.0,0.0
CM6,1722.0,1,2210001.0,2.0,ENERGIA ELECTRICA.-GESTIÓ ENERGÈTICA,0.0,900000.0
CM6,1722.0,1,2210101.0,2.0,AIGUA - GESTIÓ ENERGÈTICA,0.0,31000.0
SP1,3230.0,3,2210101.0,2.0,SUBMINISTRAMENT D'AIGUA.- EDUCACIÓ,1400.0,1400.0
SG5,1300.0,1,2210301.0,2.0,COMBUSTIBLE I CARBURANTS.- POLICIA,28000.0,0.0
CM1,1711.0,1,2210301.0,2.0,COMBUSTIBLE I CARBURANTS.-  MICROCIUTAT,20000.0,0.0
CM1,1719.0,1,2210301.0,2.0,COMBUSTIBLE I CARBURANTS.-  EDIFICIS MPALS,4000.0,0.0
CM6,1722.0,1,2210301.0,2.0,COMBUSTIBLE VEHICLES - GESTIÓ ENERGÈTICA,0.0,40000.0
SP1,2311.0,2,2210301.0,2.0,COMBUSTIBLE I CARBURANTS.- R.G.A,72000.0,0.0
SP1,3230.0,3,2210301.0,2.0,COMBUSTIBLE I CARBURANTS.-EDUCACIO,58000.0,0.0
SP3,3400.0,3,2210301.0,2.0,COMBUSTIBLE I CARBURANTS.-ESPORTS,75000.0,0.0
CM6,1722.0,1,2210302.0,2.0,GAS PROPÀ / BUTÀ  CALEFACCIÓ - GESTIÓ ENERGÈTICA,0.0,154000.0
CM6,1722.0,1,2210303.0,2.0,GASOIL CALEFACCIÓ - GESTIÓ ENERGÈTICA,0.0,35000.0
SG5,1300.0,1,2210401.0,2.0,VESTUARI.-POLICIA,40000.0,40000.0
CM1,1711.0,1,2210401.0,2.0,VESTUARI. -  MICROCIUTAT,15000.0,15000.0
CM1,1719.0,1,2210401.0,2.0,VESTUARI. -  EDIFICIS MPALS,6000.0,6000.0
SP1,2310.0,2,2210401.0,2.0,"VESTUARI,-ATENCIÓ PRIMÀRIA",350.0,350.0
SP1,2311.0,2,2210401.0,2.0,"VESTUARI,-R.G.A",10000.0,15000.0
SP1,3230.0,3,2210401.0,2.0,VESTUARI.- EDUCACIÓ,600.0,3600.0
SP3,3400.0,3,2210401.0,2.0,VESTUARI.- ESPORTS,5000.0,5000.0
SP1,2311.0,2,2210501.0,2.0,PRODUCTES ALIMENTICIS.-RGA,170000.0,170000.0
SP1,2311.0,2,2210601.0,2.0,PRODUCTES FARMACÈUTICS.-R.G.A,3000.0,3000.0
SP3,3400.0,3,2210601.0,2.0,PRODUCTES FARMACÈUTICS.-ESPORTS,1000.0,1000.0
SP1,2311.0,2,2211001.0,2.0,PRODUCTES DE HIGIENE.-R.G.A,18000.0,18000.0
SG5,1300.0,1,2219901.0,2.0,PRODUCTES VARIS.-  POLICIA,20000.0,20000.0
SP1,2311.0,2,2219901.0,2.0,PRODUCTES VARIS.- R.G.A,6000.0,6000.0
SP1,3231.0,3,2219901.0,2.0,MATERIAL DIVERS.- ESCOLES INFANTILS 0-3,30000.0,30000.0
SP3,3400.0,3,2219901.0,2.0,PRODUCTES VARIS.- ESPORTS,10000.0,10000.0
SG4,9206.0,9,2219901.0,2.0,PRODUCTES VARIS.-  INFORMATICA,4000.0,4000.0
SG4,9311.0,9,2219901.0,2.0,PRODUCTES VARIS.- GESTIÓ PRES.,3000.0,3000.0
SG4,9206.0,9,2220001.0,2.0,COMUNICACIONS TELEFÒNIQUES.,50000.0,60000.0
SG4,9340.0,9,2220101.0,2.0,COM. POSTALS (SEGELLS).- G. FINANCERA,60000.0,40000.0
SG5,1300.0,1,2240001.0,2.0,ASSEGURANCES.-POLICIA,8000.0,8000.0
SP1,2311.0,2,2240001.0,2.0,ASSEGURANCES.-R.G.A,7500.0,7500.0
SP1,3230.0,3,2240001.0,2.0,ASSEGURANCES.- EDUCACIO,400.0,900.0
SP3,3380.0,3,2240001.0,2.0,ASSEGURANCES.-FESTES,12000.0,12000.0
SP3,3400.0,3,2240001.0,2.0,ASSEGURANCES.-ESPORTS,5000.0,5000.0
SG1,9202.0,9,2240001.0,2.0,ASSEGURANCES.-SECRETARIA,60000.0,70000.0
CM1,1610.0,1,2250001.0,2.0,TRIBUTS.- AIGUA I SANEJAMENT,30000.0,25000.0
CM1,1610.0,1,2260001.0,2.0,CONCESSIONS ADMINISTRATIVES.-AIGUA,10000.0,20000.0
CM6,1721.0,1,2260001.0,2.0,CONCESSIÓN CANON COSTES- CASETA CREU ROJA,2000.0,2000.0
SG1,9120.0,9,2260101.0,2.0,ATENCIONS REPRESENTATIVES.- ORG. GOV.,10000.0,10000.0
CM2,1511.0,1,2260201.0,2.0,PUBLICITAT I PROPAGANDA.-  URBANISME,3000.0,3000.0
SP1,1522.0,1,2260201.0,2.0,PUBLICITAT I PROPAGANDA- HABITATGE,1500.0,1500.0
CM6,1721.0,1,2260201.0,2.0,PUBLICITAT I PROPAGANDA.- MEDI AMBIENT,10000.0,10000.0
SP1,2310.0,2,2260201.0,2.0,PUBLICITAT I PROPAGANDA.-  ATE.PRIMÀRIA,10000.0,10000.0
SP1,3230.0,3,2260201.0,2.0,PUBLICITAT I PROPAGANDA.- EDUCACIO,3000.0,3000.0
